suite,phase,value_bytes,clients,variant,samples,ops_per_second,logical_gib_s,physical_gib_s,cpu_cores,cpu_us_per_op,seconds,p50_us,p99_us,p999_us,min_ops_per_second,max_ops_per_second
main,read,100,160,single_reap,1,2845125.272541698,0.26497293939270994,10.853291597525399,19.99878545508828,7.029140561259831,5.000292654,55.423,90.239,107.071,2845125.272541698,2845125.272541698
main,read,100,640,baseline,6,10022235.264718004,0.9333933950139212,38.231793459770216,19.99837687970056,1.9954000196009805,5.0003594965,61.998999999999995,112.383,146.815,10008256.830994202,10036790.447974475
main,read,100,640,kernel_split,3,10021814.392184356,0.9333541982047591,38.230187958466935,19.998114142603715,1.9954814719016079,5.000409903,61.983,112.383,146.815,10004964.187032968,10025679.781653851
main,read,100,640,no_defer_taskrun,3,9841780.837640842,0.916587266851295,37.543414450229044,19.998181632115063,2.0319677873368285,5.000400971,63.039,113.215,147.455,9841597.9609248,9844163.529906116
main,read,100,640,no_huge_pages,3,10010899.221479295,0.9323376437164187,38.18854988662451,19.99836051597777,1.9976384158270346,5.000380238,62.047,112.383,146.815,10009173.326694118,10026479.310312001
main,read,100,640,no_registered_buffers,3,9849796.427815178,0.9173337768591175,37.573991500149454,19.998193999352665,2.030315463462684,5.000352582,63.039,113.343,147.455,9848841.390249724,9854975.6748479
main,read,100,640,no_registered_files,3,9990531.510214522,0.9304407527870053,38.11085323415574,19.99821530620954,2.001731832929247,5.000366592,62.175,112.575,147.071,9989124.193198258,9990947.885010269
main,read,100,640,reuse_encoded_metadata,3,10018051.529799178,0.9330037543363104,38.21583377761527,19.998292108691317,1.996225718065577,5.0003417,61.983,112.447,146.943,10007500.887389356,10024953.798387038
main,read,100,640,single_reap,3,10019286.626698587,0.9331187816987362,38.22054529838023,19.998119372760993,1.9959515702986748,5.000421873,62.015,112.383,146.815,10004887.21462762,10020790.682536619
main,read,100,2560,baseline,2,14223026.674716974,1.324622582152204,54.256540964954276,19.998549608709915,1.4060703080476509,5.0003679995,163.711,254.079,300.031,14206825.250933107,14239228.09850084
main,read,100,2560,kernel_split,1,14157821.658369558,1.318549891781952,54.007803567388756,19.998078931970024,1.4125110073093716,5.000416357,163.839,253.823,300.287,14157821.658369558,14157821.658369558
main,read,100,2560,no_defer_taskrun,1,13831729.54953431,1.2881801975457285,52.763860891473044,19.99872738300426,1.445858763460104,5.000388979,166.783,257.535,306.175,13831729.54953431,13831729.54953431
main,read,100,2560,no_huge_pages,1,14150617.878726743,1.317878987521561,53.980323328883145,19.998569289381013,1.4132647394461664,5.000354303,163.711,254.079,300.543,14150617.878726743,14150617.878726743
main,read,100,2560,no_registered_buffers,1,13238362.090665022,1.2329185465970096,50.50034366861352,19.998638438683525,1.5106580634159785,5.000333013,180.351,276.223,295.423,13238362.090665022,13238362.090665022
main,read,100,2560,no_registered_files,1,14038602.944771808,1.3074467838529318,53.55302026661609,19.99846406691938,1.4245337763019443,5.00034806,166.527,257.535,299.775,14038602.944771808,14038602.944771808
main,read,100,2560,reuse_encoded_metadata,1,14194706.525030725,1.3219850626802747,54.14850816738405,19.99864027335298,1.4088801510681246,5.000299152,163.839,253.823,302.335,14194706.525030725,14194706.525030725
main,read,100,2560,single_reap,1,14138111.100654824,1.3167142030461527,53.932613756770415,19.998224325318112,1.4144905343396172,5.000330348,163.839,254.079,301.055,14138111.100654824,14138111.100654824
main,read,1024,160,baseline,2,2778327.0043827686,2.6496191066577612,10.598476426631045,19.998801411523306,7.198145304163302,5.0002317860000005,55.471000000000004,84.447,105.119,2778161.4403552,2778492.568410338
main,read,1024,160,kernel_split,1,2777948.274803598,2.649257921985243,10.597031687940971,19.998923846331923,7.199170707289666,5.000233851,55.487,84.415,105.151,2777948.274803598,2777948.274803598
