suite,phase,value_bytes,clients,variant,pairs,median_throughput_ratio,min_throughput_ratio,max_throughput_ratio,median_p99_us_ratio,min_p99_us_ratio,max_p99_us_ratio,median_cpu_us_per_op_ratio,min_cpu_us_per_op_ratio,max_cpu_us_per_op_ratio
main,read,100,160,no_defer_taskrun,1,0.9970099694454595,0.9970099694454595,0.9970099694454595,1.0017737613034712,1.0017737613034712,1.0017737613034712,1.002970795644714,1.002970795644714,1.002970795644714
main,read,100,160,no_huge_pages,1,1.000270612814828,1.000270612814828,1.000270612814828,0.9996453232434463,0.9996453232434463,0.9996453232434463,0.9997187859771274,0.9997187859771274,0.9997187859771274
main,read,100,160,no_registered_buffers,1,0.9972665802594548,0.9972665802594548,0.9972665802594548,1.0017737613034712,1.0017737613034712,1.0017737613034712,1.0027258209642025,1.0027258209642025,1.0027258209642025
main,read,100,160,no_registered_files,1,0.9995388587621492,0.9995388587621492,0.9995388587621492,1.000354802596788,1.000354802596788,1.000354802596788,1.0004629252067887,1.0004629252067887,1.0004629252067887
main,read,100,160,reuse_encoded_metadata,1,0.9998764445388157,0.9998764445388157,0.9998764445388157,1.000354802596788,1.000354802596788,1.000354802596788,1.000116038685556,1.000116038685556,1.000116038685556
main,read,100,160,single_reap,1,0.9998469656137967,0.9998469656137967,0.9998469656137967,1.000354802596788,1.000354802596788,1.000354802596788,1.0001444390936243,1.0001444390936243,1.0001444390936243
main,read,100,640,kernel_split,3,0.999515511974596,0.999360993957551,0.9997736304505113,1.0,1.0,1.0005698056428565,1.0004611165228838,1.0002254610039851,1.0006420711193758
main,read,100,640,no_defer_taskrun,3,0.981813529276691,0.9811633763291006,0.9832991768904202,1.007403254940694,1.0068337737914097,1.0085470846428475,1.0185140505952244,1.016990400889832,1.0191911679795638
main,read,100,640,no_huge_pages,3,0.9995952214121098,0.9985125610030673,0.9999538238580459,1.0,1.0,1.0005694811492842,1.000402675337404,1.0000509694520383,1.001489474056299
main,read,100,640,no_registered_buffers,3,0.9831298428484123,0.9819807268738824,0.9837664320524768,1.0085422172392622,1.0085422172392622,1.0096866959285606,1.0171387997799228,1.0165103012032235,1.018334787126387
main,read,100,640,no_registered_files,3,0.9965124645935614,0.9960113862406992,0.9979609544112658,1.0017084434478525,1.0011389622985682,1.002279222571426,1.003453403012803,1.0020509410112743,1.0039982439446078
main,read,100,640,reuse_encoded_metadata,3,0.9996143761128633,0.9987550093230005,1.0000868168071815,1.0005694811492842,1.0,1.001139611285713,1.0004007928995036,0.9999013087072007,1.0012365704960757
main,read,100,640,single_reap,3,0.9993533054523172,0.9990280906212632,0.9995214612147084,1.0,1.0,1.0005698056428565,1.0006609544722163,1.0004610955576227,1.0009542396654671
main,read,100,2560,kernel_split,1,0.9954161773983441,0.9954161773983441,0.9954161773983441,0.9989929464375932,0.9989929464375932,0.9989929464375932,1.0045812868676154,1.0045812868676154,1.0045812868676154
main,read,100,2560,no_defer_taskrun,1,0.9724891079459147,0.9724891079459147,0.9724891079459147,1.0136025831418176,1.0136025831418176,1.0136025831418176,1.028298292692486,1.028298292692486,1.028298292692486
main,read,100,2560,no_huge_pages,1,0.9949096899620772,0.9949096899620772,0.9949096899620772,1.0000005075896088,1.0000005075896088,1.0000005075896088,1.005117343008783,1.005117343008783,1.005117343008783
main,read,100,2560,no_registered_buffers,1,0.9307702911708025,0.9307702911708025,0.9307702911708025,1.0871545472389472,1.0871545472389472,1.0871545472389472,1.0743837134792533,1.0743837134792533,1.0743837134792533
main,read,100,2560,no_registered_files,1,0.9870340802772332,0.9870340802772332,0.9870340802772332,1.0136025831418176,1.0136025831418176,1.0136025831418176,1.0131319096123381,1.0131319096123381,1.0131319096123381
main,read,100,2560,reuse_encoded_metadata,1,0.9980094995817748,0.9980094995817748,0.9980094995817748,0.9989929464375932,0.9989929464375932,0.9989929464375932,1.0019990130188536,1.0019990130188536,1.0019990130188536
main,read,100,2560,single_reap,1,0.9940303562961837,0.9940303562961837,0.9940303562961837,1.0000005075896088,1.0000005075896088,1.0000005075896088,1.0059891313383085,1.0059891313383085,1.0059891313383085
main,read,1024,160,kernel_split,1,0.9998636860793705,0.9998636860793705,0.9998636860793705,0.999621135868386,0.999621135868386,0.999621135868386,1.0001424554488398,1.0001424554488398,1.0001424554488398
main,read,1024,160,no_defer_taskrun,1,0.9970788930330358,0.9970788930330358,0.9970788930330358,1.0003790077240464,1.0003790077240464,1.0003790077240464,1.0029390551630746,1.0029390551630746,1.0029390551630746
main,read,1024,160,no_huge_pages,1,0.9998459506176063,0.9998459506176063,0.9998459506176063,1.0003790077240464,1.0003790077240464,1.0003790077240464,1.0001597202880927,1.0001597202880927,1.0001597202880927
main,read,1024,160,no_registered_buffers,1,0.9973561002822136,0.9973561002822136,0.9973561002822136,1.0011368795797069,1.0011368795797069,1.0011368795797069,1.002667511118289,1.002667511118289,1.002667511118289
main,read,1024,160,no_registered_files,1,0.9992703175585582,0.9992703175585582,0.9992703175585582,1.0003790077240464,1.0003790077240464,1.0003790077240464,1.0007366743138788,1.0007366743138788,1.0007366743138788
main,read,1024,160,reuse_encoded_metadata,1,0.9998325119773405,0.9998325119773405,0.9998325119773405,0.999621135868386,0.999621135868386,0.999621135868386,1.0001666519996257,1.0001666519996257,1.0001666519996257
main,read,1024,160,single_reap,1,0.9995748403629986,0.9995748403629986,0.9995748403629986,1.0003790077240464,1.0003790077240464,1.0003790077240464,1.0004321270925214,1.0004321270925214,1.0004321270925214
main,read,1024,640,kernel_split,3,0.9982946496681595,0.9981206038096485,0.9992293783343822,1.0008947739984198,1.0008942405695906,1.00119190621188,1.0017340062219504,1.0007251420937877,1.0018818012346569
main,read,1024,640,no_defer_taskrun,3,0.9799679798038653,0.9791592942833746,0.9805878139247781,1.0104323328160498,1.0101312028009795,1.0110350419362384,1.0204466541651827,1.019768410450334,1.0213061949163262
main,read,1024,640,no_huge_pages,3,0.9987954005643014,0.998332951947,0.9997643961953496,1.0002982876491362,1.0,1.0014903713349945,1.001205810297692,1.000233528157941,1.0016680825690056
main,read,1024,640,no_registered_buffers,3,0.9817734409727843,0.9817525599472774,0.9821946299793238,1.0104323328160498,1.0101312028009795,1.010438555586955,1.018559970286258,1.0181341044342913,1.018578425632783
main,read,1024,640,no_registered_files,3,0.9963512483032969,0.9949185600223757,0.996405245194508,1.0020865021003982,1.0017878593178198,1.0026842330462702,1.0036400201579248,1.0036377761079949,1.0051122416162053
main,read,1024,640,reuse_encoded_metadata,3,0.9998467537088314,0.9992231623375183,1.0000778494628302,1.0002981098041872,1.0,1.0002982876491362,1.0001828189828141,0.9999626852089283,1.0007665410391318
main,read,1024,640,single_reap,3,0.9973827022975564,0.9970461565617706,0.9978836710851684,1.0014903713349945,1.0005959531059399,1.0014912603477033,1.0026357405808166,1.0021323554698005,1.0029709338359545
main,read,1024,2560,kernel_split,1,0.996985919174942,0.996985919174942,0.996985919174942,1.0038356468808323,1.0038356468808323,1.0038356468808323,1.0030116779022225,1.0030116779022225,1.0030116779022225
