suite,run,order,round,variant,devices,key_bytes,value_bytes,clients,operations,seconds,ops_per_second,logical_gib_s,physical_read_bytes,physical_gib_s,physical_reads,physical_iops,read_amplification,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,min_disk_iops,max_disk_iops
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,640,43505859,5.000451084,8700386.87893702,33.18934203696068,356399996928,66.37868407392136,43505644,8700343.882815992,2.0,69.951,123.711,157.823,19.998147031168916,99.99975599999998,2.2985353765799674,11317.0546875,426784.8968323195,453762.2630206695
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,2560,49977335,5.000474363,9994518.794016263,38.12606351477151,409414328320,76.25212702954302,49976584,9994368.608264774,2.0,261.887,323.839,420.607,19.998366502974108,100.001319,2.0009334031116306,11317.0546875,440472.0112750631,739227.867530215
main,ablate-r1-single_reap-v2-d20-k16-v4096,21,1,single_reap,20,16,4096,160,12543785,5.000274389,2508619.3324899953,9.569623308143598,102758686720,19.139246616287195,12543785,2508619.3324899953,2.0,61.471,96.831,115.199,19.998847507246268,99.99972500000001,7.972053491031616,11325.03515625,125030.93857715894,125701.50177812572
main,ablate-r1-single_reap-v2-d20-k16-v4096,21,1,single_reap,20,16,4096,640,43490182,5.000366436,8697398.991980596,33.17794415275801,356271570944,66.35588830551602,43489950,8697352.59538087,2.0,69.951,123.711,158.079,19.99844636986121,99.99956000000003,2.29935942783592,11325.03515625,425071.8476744851,452978.6024665653
main,ablate-r1-single_reap-v2-d20-k16-v4096,21,1,single_reap,20,16,4096,2560,49942065,5.000473262,9987467.66221585,38.09916558157291,409125396480,76.19833116314582,49941317,9987318.076374508,2.0,262.399,323.583,421.375,19.998345308620518,100.00119100000003,2.0023439359185495,11325.03515625,438093.133433497,733515.1710286258
main,ablate-r1-no_registered_buffers-v2-d20-k16-v4096,22,1,no_registered_buffers,20,16,4096,160,12532100,5.000215468,2506311.9939934555,9.560821510289976,102662963200,19.121643020579953,12532098,2506311.594010692,2.0,61.567,96.831,115.199,19.999051968854076,99.99956900000001,7.979474230176907,3731.71484375,125144.20708559753,125555.7893490361
main,ablate-r1-no_registered_buffers-v2-d20-k16-v4096,22,1,no_registered_buffers,20,16,4096,640,44168802,5.000339684,8833160.303355103,33.69583245603601,361830825984,67.39166491207202,44168619,8833123.70584142,2.0,68.927,122.559,157.183,19.998432170513322,99.99895400000001,2.2640178015242527,3731.71484375,435235.83147036453,454084.9509215062
main,ablate-r1-no_registered_buffers-v2-d20-k16-v4096,22,1,no_registered_buffers,20,16,4096,2560,60894469,5.00044479,12177810.486334756,46.454660363520645,498847490048,92.90932072704129,60893553,12177627.302630411,2.0,197.247,303.103,325.631,19.99817520233035,99.99977100000001,1.6421815091285223,3731.71484375,568041.2681848648,753319.1862318311
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v4096,23,1,reuse_encoded_metadata,20,16,4096,160,12548614,5.000203045,2509620.8868054077,9.573443934651976,102798245888,19.146887869303953,12548612,2509620.4868216505,2.0,61.471,96.767,115.135,19.9990330592665,99.99922600000002,7.9689458931480415,11315.77734375,125160.91734030773,125749.09345506388
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v4096,23,1,reuse_encoded_metadata,20,16,4096,640,43549322,5.000405129,8709158.733446296,33.222804006371675,356756045824,66.44560801274335,43549085,8709111.337286608,2.0,69.887,123.647,157.823,19.998341218404107,99.999808,2.2962425913312727,11315.77734375,427614.95215640956,452966.49802712415
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v4096,23,1,reuse_encoded_metadata,20,16,4096,2560,49838562,5.000415287,9966884.576480977,38.02064734070197,408277499904,76.04129468140394,49837816,9966735.388872113,2.0,262.655,324.863,421.887,19.998452780508035,100.00056900000004,2.0064898541815883,11315.77734375,437972.62313265144,730099.5598288195
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v4096,24,1,no_defer_taskrun,20,16,4096,160,12515690,5.00028466,2502995.4994602245,9.5481700876626,102528532480,19.0963401753252,12515690,2502995.4994602245,2.0,61.663,96.895,115.519,19.99886982434316,100.00004200000001,7.989974344203158,11315.77734375,124177.53032484354,125559.0516720702
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v4096,24,1,no_defer_taskrun,20,16,4096,640,42915460,5.000418695,8582373.320640504,32.73915603882028,351563448320,65.47831207764057,42915199,8582321.125011314,2.0,70.911,124.607,158.719,19.998218169208727,99.99946399999997,2.330150113735236,11315.77734375,421731.28464395524,442496.7457650064
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v4096,24,1,no_defer_taskrun,20,16,4096,2560,49222272,5.000490491,9843488.771469798,37.54992970073623,403228852224,75.09985940147246,49221533,9843340.985967292,2.0,262.655,329.983,422.655,19.99831260153076,100.00137200000003,2.0316285278339046,11315.77734375,439388.49677936523,684819.8204082936
