suite,phase,value_bytes,clients,round,variant,run,before_run,after_run,ops_per_second,control_ops_per_second,throughput_ratio,control_after_before_ratio,p99_us_ratio,cpu_us_per_op_ratio
main,read,4194304,640,1,no_defer_taskrun,ablate-r1-no_defer_taskrun-v2-d20-k16-v4194304,ablate-r1-control_before-v2-d20-k16-v4194304,ablate-r1-control_after-v2-d20-k16-v4194304,59616.1855496227,59609.33672768577,1.000114895120679,1.0002113107767225,0.9944500267381904,0.9998322189065424
main,read,4194304,640,1,no_huge_pages,ablate-r1-no_huge_pages-v2-d20-k16-v4194304,ablate-r1-control_before-v2-d20-k16-v4194304,ablate-r1-control_after-v2-d20-k16-v4194304,59612.15532804401,59609.33672768577,1.000047284544888,1.0002113107767225,1.032631356150829,0.999838902490083
main,read,4194304,640,1,no_registered_buffers,ablate-r1-no_registered_buffers-v2-d20-k16-v4194304,ablate-r1-control_before-v2-d20-k16-v4194304,ablate-r1-control_after-v2-d20-k16-v4194304,59657.53313802213,59609.33672768577,1.0008085379402314,1.0002113107767225,1.047383233423894,0.9992050059715929
main,read,4194304,640,1,no_registered_files,ablate-r1-no_registered_files-v2-d20-k16-v4194304,ablate-r1-control_before-v2-d20-k16-v4194304,ablate-r1-control_after-v2-d20-k16-v4194304,59606.234128700184,59609.33672768577,0.9999479511238355,1.0002113107767225,1.0421766885039887,0.9998232823511163
main,read,4194304,640,1,reuse_encoded_metadata,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v4194304,ablate-r1-control_before-v2-d20-k16-v4194304,ablate-r1-control_after-v2-d20-k16-v4194304,59621.09091506604,59609.33672768577,1.0001971870184359,1.0002113107767225,1.0126729339578588,0.9996856052751623
main,read,4194304,640,1,single_reap,ablate-r1-single_reap-v2-d20-k16-v4194304,ablate-r1-control_before-v2-d20-k16-v4194304,ablate-r1-control_after-v2-d20-k16-v4194304,59611.38199133395,59609.33672768577,1.0000343111291026,1.0002113107767225,0.9927145117648886,0.9999200778523332
main,read,4194304,640,2,kernel_split,ablate-r2-kernel_split-v2-d20-k16-v4194304,ablate-r2-control_before-v2-d20-k16-v4194304,ablate-r2-control_after-v2-d20-k16-v4194304,58867.97054958966,59607.983164811514,0.9875853438426901,0.9997052129725648,1.1210162239133095,1.0113451080787268
main,read,4194304,640,2,no_defer_taskrun,ablate-r2-no_defer_taskrun-v2-d20-k16-v4194304,ablate-r2-control_before-v2-d20-k16-v4194304,ablate-r2-control_after-v2-d20-k16-v4194304,59598.153905209096,59607.983164811514,0.9998351016243036,0.9997052129725648,0.9855855746751226,1.0000696127133297
main,read,4194304,640,2,no_huge_pages,ablate-r2-no_huge_pages-v2-d20-k16-v4194304,ablate-r2-control_before-v2-d20-k16-v4194304,ablate-r2-control_after-v2-d20-k16-v4194304,59604.04471292219,59607.983164811514,0.9999339274425971,0.9997052129725648,1.0196616735156987,1.0000930433723039
main,read,4194304,640,2,no_registered_buffers,ablate-r2-no_registered_buffers-v2-d20-k16-v4194304,ablate-r2-control_before-v2-d20-k16-v4194304,ablate-r2-control_after-v2-d20-k16-v4194304,59655.965948892015,59607.983164811514,1.0008049724471944,0.9997052129725648,0.9803430979304186,0.9992184598140741
