engine,disks,key_bytes,value_bytes,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_write_bytes,write_amplification,cpu_cores
v1,20,16,1024,2,2621440,0.584911384,4481772.917587804,4.274151723468593,6.383438033668313,4009078784,1.4934982299804687,28.423336345937837
v1,20,16,4096,2,2611220,0.814890666,3204380.7948095948,12.223742655981425,13.500709520768472,11812880384,1.1044661116259833,26.170501012954293
v1,20,16,4194304,2,40960,7.752822177,5283.2373895424125,20.63764605290005,20.678247211082695,172136677376,1.0019673347473144,28.809570618376895
v1,20,16,65536,2,163800,1.477137696,110890.13599988718,6.768196777336864,7.614273024357279,12076728320,1.1250076312576314,43.117473186467244
v2,20,16,100,2,2621440,0.463367409,5657368.103763206,0.5268834627944237,3.9870424187228903,1983700992,7.56721875,28.01057378638384
v2,20,16,1024,2,2621440,0.681836397,3844675.9538417542,3.666568712083582,5.648986453729163,4135714816,1.540673828125,27.322033675477144
v2,20,16,4096,2,2611220,0.87640046,2979482.6899109567,11.365824470180346,12.444481352883939,11710603264,1.0949035316825086,26.245570432493842
v2,20,16,4194304,2,40960,7.282262842,5624.6253243930905,21.97119267341051,22.016039154427528,172149358592,1.0020411491394043,30.499325253550087
v2,20,16,65536,2,163800,1.016658958,161115.97572723104,9.833738752882754,11.063031140786999,12076728320,1.1250076312576314,35.03679352815971
foyer,20,16,100,3,2621440,0.989177725,2650120.3310052296,0.24681168897126146,10.48399750833372,11135279104,42.47771875,36.18839981460359
foyer,20,16,1024,3,2621440,1.054821482,2485197.7749160025,2.3700692891273523,9.811358506226084,11112402944,4.139692687988282,36.14268162961058
foyer,20,16,4096,3,2611220,1.245868823,2095902.8364738205,7.995234819312365,16.23913080472563,21723758592,2.031101171100099,35.58692470788314
foyer,20,16,4194304,3,40960,4.6624986,8784.989233026257,34.31636419150882,34.36261919948075,172030259200,1.0013478994369507,44.569016921527876
foyer,20,16,65536,3,163800,0.779971493,210007.67524204886,12.817851272097709,13.639679583493825,11423068160,1.0641159188034188,46.38019764140277
v1,20,16,100,3,2621440,0.623386072,4205162.928311302,0.3916363165072447,2.444447024019531,1636204544,6.241625,30.92901312045997
v1,20,16,1024,3,2621440,0.638839117,4103443.1521825553,3.913348343069606,5.842363472970653,4007559168,1.49293212890625,27.75493786802664
v1,20,16,4096,3,2611220,0.822041573,3176506.0135225058,12.117408804025672,13.384353265563758,11813838848,1.1045557249101952,26.109248856687692
v1,20,16,4194304,3,40960,7.543548596,5429.805280464319,21.210176876813748,21.251904394780187,172136677376,1.0019673347473144,29.536966344744947
v1,20,16,65536,3,163800,1.271132357,128861.48251829924,7.865080720111037,8.848275830582184,12076728320,1.1250076312576314,39.646650266176806
v2,20,16,100,3,2621440,0.472493391,5548098.766951853,0.5167069627858563,3.9291689217643473,1993408512,7.60425,27.678063331895373
v2,20,16,1024,3,2621440,0.639028023,4102230.1145625976,3.912191500246618,6.023811428159119,4133244928,1.5397537231445313,27.27347842772147
v2,20,16,4096,3,2611220,0.872219417,2993765.042495035,11.420307321529522,12.522022648281988,11727355904,1.096469849342453,25.778988132753298
v2,20,16,4194304,3,40960,7.674179159,5337.378650062345,20.849135351806034,20.891691546486697,172149358592,1.0020411491394043,29.06697203418782
v2,20,16,65536,3,163800,1.005393814,162921.23317162163,9.94392292307261,11.186989173094377,12076728320,1.1250076312576314,35.26698941873538
