engine,disks,key_bytes,value_bytes,clients,repeat,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
v1,20,16,4194304,640,2,56469.769172708075,220.58503583089092,220.8004509049445,1863502.3826993664,8691.711,49250.303,68550.655,20.13256255331685,356.5192995874144,14181.14453125,1.0009765625,90144.16224374408,96400.90457528333
v1,20,16,4194304,640,3,56370.498859729014,220.19726117081646,220.4122975586786,1860226.4623710576,8585.215,51281.919,69795.839,20.150048719188376,357.4573425246647,14181.14453125,1.0009765625,90025.71637820413,96254.44497617338
v1,20,16,4194304,2560,1,55300.61380324515,216.01802266892636,216.228977769189,1824920.25550709,20234.239,217186.303,230817.791,19.629830603639313,354.9658720512682,14181.14453125,1.0009765625,87970.66352388848,93786.64536133199
v1,20,16,4194304,2560,2,55366.06193853252,216.27367944739265,216.484884212478,1827080.043971573,21086.207,217841.663,230555.647,19.65770063757204,355.04964502254194,14181.14453125,1.0009765625,87984.89828443025,93886.74776401574
v1,20,16,4194304,2560,3,55376.33694932106,216.3138162082854,216.5250601694263,1827419.119327595,21200.895,214958.079,229244.927,19.660852330410563,355.04068007249464,14181.14453125,1.0009765625,88117.33928978285,93940.09875172941
v1,20,16,65536,160,1,707284.3240638748,43.16920923241423,45.86728480944012,707284.3240638748,216.191,423.935,538.623,31.671810567922495,44.77946066433987,10496.9765625,1.0625,34803.97680738056,35913.64275181779
v1,20,16,65536,160,2,704366.9310228084,42.991145692310084,45.67809229807946,704366.9310228084,216.959,427.519,542.207,31.912384028249026,45.30647681302866,10496.9765625,1.0625,34668.01241611213,35768.92053543219
v1,20,16,65536,160,3,709782.2595566968,43.32167111552104,46.0292755602411,709782.2595566968,215.551,421.887,530.943,31.632889009214175,44.567032471297445,10496.9765625,1.0625,34930.19822628658,36041.69175655277
v1,20,16,65536,640,1,739895.7358641818,45.15965184717906,47.98213008762775,739895.7358641818,464.127,8151.039,9928.703,36.79702190702468,49.73271249366855,10496.9765625,1.0625,36467.918769939315,37698.07486967363
v1,20,16,65536,640,2,741356.4695241967,45.24880795435771,48.07685845150506,741356.4695241967,479.231,7520.255,9453.567,36.92717543591825,49.810282844929034,10496.9765625,1.0625,36536.86249038413,37779.931635256195
v1,20,16,65536,640,3,743650.0968664292,45.38879985757014,48.22559984866828,743650.0968664292,479.231,7290.879,8863.743,36.839297041641764,49.538482139482134,10496.9765625,1.0625,36645.52215831663,37898.89044204086
v1,20,16,65536,2560,1,727830.4045415035,44.42324246469138,47.19969511873459,727830.4045415035,416.255,61865.983,63406.079,36.242942962691714,49.79586279515616,10815.9453125,1.0625,35678.90940191457,37085.139152473916
v1,20,16,65536,2560,2,730253.9992900637,44.57116694885643,47.35686488315996,730253.9992900637,426.751,61407.231,63373.311,36.44031933657806,49.90088294210577,10818.9765625,1.0625,35804.12599688409,37214.225409435625
v1,20,16,65536,2560,3,728317.5903294557,44.452977925381816,47.23128904571818,728317.5903294557,430.847,61374.463,62881.791,36.52476965503335,50.14950914272345,10838.72265625,1.0625,35715.64002601683,37098.09047867172
v2,20,16,100,160,1,733998.3362479655,0.06835892202779328,2.799981446258413,733955.9505034527,189.567,601.087,834.559,34.220251191889275,46.621701306321086,11336.9296875,40.96,36445.94223100889,36895.79093456404
v2,20,16,100,160,2,735091.0124841919,0.06846068543234765,2.8041496753089596,735054.4259915226,189.311,594.943,809.471,34.11709334442528,46.41206702980736,11351.9296875,40.96,36496.32595791592,36949.15877702027
v2,20,16,100,160,3,732163.0976136251,0.06818800211079652,2.7929805664582257,732124.9106059144,189.951,601.087,827.903,34.41401578823639,47.00320994106869,11363.9296875,40.96,36359.429504018706,36802.8786302094
v2,20,16,100,640,1,751806.5521403844,0.07001744137521689,2.8679143987288835,751734.7531383877,392.703,9396.223,11100.159,36.129692587566964,48.05716641429388,11480.89453125,40.96,37329.69722977133,37810.94998482119
v2,20,16,100,640,2,750272.1731760948,0.06987454119847107,2.862061207489375,750200.5863726913,409.599,8413.183,10338.303,36.29960375358325,48.38191399251515,11504.88671875,40.96,37266.21543417364,37738.807980319376
v2,20,16,100,640,3,754019.8907699577,0.07022357459831588,2.8763576155470187,753948.0933313962,487.935,6029.311,9633.791,36.52458912004678,48.439821770152726,11504.88671875,40.96,37438.37546322633,37926.99692010308
v2,20,16,100,2560,1,751055.80030886,0.06994752216235363,2.8650505077700044,750979.5960213498,479.487,51707.903,61177.855,36.02038057977733,47.959659675039475,11901.7890625,40.96,37354.55000464858,37779.512615776955
v2,20,16,100,2560,2,745441.2837076468,0.06942462955672729,2.84363282664355,745372.0056057394,485.631,59801.599,61571.071,36.329191791609915,48.73514867719319,11950.734375,40.96,37102.18438263381,37495.88193890159
v2,20,16,100,2560,3,745355.409300973,0.0694166318793756,2.8433052417792246,745277.7680093456,656.895,49709.055,56754.175,36.66261383745873,49.18809655093606,11950.734375,40.96,37088.571591069216,37493.81159787986
v2,20,16,1024,160,1,725934.5587470201,0.6923051440687371,2.7692205762749484,725921.9629918123,191.743,604.159,842.751,34.40025645165532,47.387544837417536,11303.4765625,4.0,36044.25302185198,36496.30068097717
v2,20,16,1024,160,2,730272.7542498324,0.6964423696993183,2.785769478797273,730257.3596474355,190.591,599.039,825.343,34.17511103876297,46.79773528435841,11324.4765625,4.0,36260.68640142027,36716.526576288015
v2,20,16,1024,160,3,734041.0149560672,0.7000360631523773,2.8001442526095093,734028.21938694,189.695,595.967,829.439,34.08426024101209,46.43372719854361,11342.4765625,4.0,36452.97699750995,36889.42586321112
v2,20,16,1024,640,1,749662.9905521596,0.7149343400498959,2.8597373601995835,749636.6691589265,516.351,4988.927,7962.623,36.65308604678445,48.892751154472556,11450.9140625,4.0,37232.408346387296,37707.589256044856
v2,20,16,1024,640,2,750014.5882050168,0.7152696497011345,2.861078598804538,749991.8585447281,508.159,5074.943,8065.023,36.60934769988041,48.811514170006014,11457.875,4.0,37243.54529791437,37723.46014278133
v2,20,16,1024,640,3,751819.3692517182,0.7169908230321104,2.8679632921284415,751796.4402642004,496.639,5865.471,8323.071,36.59007449266564,48.66870419830171,11475.1328125,4.0,37327.19538400594,37823.65780939173
v2,20,16,1024,2560,1,743880.6473009562,0.7094198678025782,2.8376794712103126,743860.470581134,387.583,61046.783,62980.095,35.696913028667986,47.98741996876533,11856.53125,4.0,37014.58813576643,37395.57208064427
v2,20,16,1024,2560,2,744433.382416204,0.7099469970857658,2.8397879883430632,744410.8160007952,562.687,54362.111,59637.759,36.48347891537276,49.00838648175408,11856.53125,4.0,37053.26229704741,37451.14383188514
v2,20,16,1024,2560,3,742310.79478392,0.7079227397765351,2.8316909591061403,742283.6863660906,510.207,58654.719,61276.159,36.54091390011058,49.22589588737869,11901.23046875,4.0,36936.50545852341,37299.79783177151
v2,20,16,4096,160,1,848257.9960821646,3.235847458199175,6.47169491639835,848252.9984942044,167.807,472.319,635.391,33.6422164937177,39.660358816657734,11312.48046875,2.0,42261.003115647465,42586.64594713076
