experiment,source,engine,value_bytes,records_per_disk,prefill_batch,input_mode,batch_large_records,samples,ops_per_second_median,ops_per_second_min,ops_per_second_max,gib_per_second_median,gib_per_second_min,gib_per_second_max,cpu_cores_median,cpu_cores_min,cpu_cores_max,write_amplification_median,write_amplification_min,write_amplification_max,mean_block_write_kib_median,mean_block_write_kib_min,mean_block_write_kib_max,seconds_median,seconds_min,seconds_max
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,v2,65536,65520,2560,owned_value,False,3,158696.7966901538,157702.9730520226,159428.3363543677,9.68608378235802,9.625425601319739,9.730733420066388,34.19635515916277,34.05641237830668,34.61494473404432,1.1268477182539682,1.1268477182539682,1.1268477182539682,72.04441723721796,72.04403278063656,72.0444721599217,8.257255517,8.219366958,8.309291668
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,v2,4194304,2048,620,in_place,False,3,11523.301036475437,11485.612550523103,11579.430681097454,45.01289467373218,44.86567402548087,45.23215109803693,15.349759578957544,15.346685900830353,15.382831798261929,1.0020411491394043,1.0020411491394043,1.0020411491394043,124.34622792509992,124.34622792509992,124.34622792509992,3.554537009,3.537306896,3.566200742
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,v2,4194304,2048,620,owned_value,False,3,5308.007195061291,5251.930034409697,5362.878158122681,20.734403105708168,20.51535169691288,20.948742805166724,28.831354430432206,28.552001592110287,29.115029907585264,1.0020411491394043,1.0020411491394043,1.0020411491394043,124.34622792509992,124.34622792509992,124.34622792509992,7.716643647,7.637689836,7.7990376359999996
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,foyer,65536,8190,2560,owned_value,False,3,218022.47896145305,216655.20830000867,225510.90331518912,13.307036069424624,13.223584490967326,13.764093219921211,46.085887308905676,45.6079463723283,46.810586889932736,1.064107905982906,1.06407471001221,1.0641246947496947,118.58271767669788,117.98392316967401,118.76896213960224,0.751298677,0.726350689,0.756039983
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,foyer,4194304,2048,620,owned_value,False,3,8691.215616843374,8657.163510033486,8837.26548284452,33.95006100329443,33.817044961068305,34.5205682923614,44.303396916724886,44.265345426550915,44.3925615074263,1.0013483047485352,1.0013479948043824,1.0013483762741089,124.26140720057694,124.13327904912991,124.27514191915232,4.712804492,4.634917903,4.731341848
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,v1,65536,8190,2560,owned_value,False,3,178875.77069534926,136754.4149505617,185255.3085460019,10.917710613729813,8.34682708438487,11.307086703247187,40.04801362350488,37.914305237579214,41.07336500521272,1.1250076312576314,1.1250076312576314,1.1250076312576314,71.99169820534733,71.99169820534733,71.99169820534733,0.915719325,0.884185189,1.197767546
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,v1,65536,8190,2560,preassembled,False,3,174427.55281136787,173140.81156072742,182562.78874302865,10.646212940146965,10.567676486860805,11.142748336366495,28.05910484328847,28.02911167743556,28.987987273803647,1.1250076312576314,1.1250076312576314,1.1250076312576314,71.99169820534733,71.99169820534733,71.99169820534733,0.939071823,0.897225558,0.946050781
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,v1,4194304,2048,620,owned_value,False,3,5473.50893721321,5334.112845860253,5566.653497902491,21.3808942859891,20.836378304141615,21.744740226181605,29.492738896429312,28.921279731193465,30.226249785906216,1.0019673347473144,1.0019673347473144,1.0019673347473144,124.3436899925735,124.3436899925735,124.3436899925735,7.483316547,7.358101239,7.678877666
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,v1,4194304,2048,620,preassembled,False,3,6942.9228938237475,6925.866085552414,6997.58644769779,27.120792553999014,27.054164396689117,27.334322061319494,24.534754121281154,24.36769584832101,24.964856338830298,1.0019673347473144,1.0019673347473144,1.0019673347473144,124.3436899925735,124.3436899925735,124.3436899925735,5.899532607,5.8534468,5.914061793
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,v2,65536,8190,2560,owned_value,False,3,161285.0998249312,154564.78077903044,166123.4563179391,9.844061268611524,9.43388554559512,10.139371113155462,35.566711515300824,33.95787195734476,35.8180955198223,1.1250076312576314,1.1250076312576314,1.1250076312576314,71.99169820534733,71.99169820534733,71.99169820534733,1.015592886,0.986013677,1.059749829
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,v2,65536,8190,2560,owned_value,True,3,169127.32311595112,168963.7163560748,170852.69200117042,10.322712592526313,10.312726828373705,10.428020752024562,32.75940259914738,32.73126763141373,32.88771769778284,1.068197496947497,1.0679891636141636,1.0683234126984127,117.96443620428114,117.64496780360726,118.23162785785944,0.968501109,0.958720627,0.969438904
