case,group,variant,input_mode,fsync,value_bytes,devices,records_per_device,verified_records,instrumented,source_buffers_per_owner,source_payload_bytes_per_owner,write_seconds,write_ops,write_gib,write_cpu_us_per_record,read_ops,read_p99_us,peak_rss_mib,max_tasks,max_io_wq
pooled-r3-v1024-disabled,pooled,disabled,pooled,False,1024,20,131072,2621440,False,64,65536,0.06302054,41596596.91903624,39.66960613158821,0.470608139038086,9913100.15252653,107.775,11283.66796875,21,0
pooled-r3-v1024-enabled,pooled,enabled,pooled,True,1024,20,131072,2621440,False,64,65536,0.070016869,37440120.32300388,35.705681155208474,0.4880290985107423,9907918.118706694,107.839,11283.90625,41,20
pooled-r3-v4096-baseline,pooled,baseline,pooled,True,4096,20,130561,2611220,False,64,262144,0.130889922,19949740.668345727,76.1022211774663,0.9224634462052221,8671694.120700946,124.095,11319.01953125,21,0
pooled-r3-v4096-disabled,pooled,disabled,pooled,False,4096,20,130561,2611220,False,64,262144,0.124949963,20898125.436019536,79.72002195747199,0.8793885616684921,8669722.744325228,124.095,11283.66796875,21,0
pooled-r3-v4096-enabled,pooled,enabled,pooled,True,4096,20,130561,2611220,False,64,262144,0.128494381,20321666.828372832,77.52100688313611,0.9030273205628021,8663989.019732237,124.159,11283.66796875,41,20
pooled-r3-v4194304-baseline,pooled,baseline,pooled,True,4194304,20,2048,40960,False,1,4194304,4.11307544,9958.484982225367,38.90033196181784,1640.3852050781252,59547.74515169624,19120.127,10330.9921875,21,0
pooled-r3-v4194304-disabled,pooled,disabled,pooled,False,4194304,20,2048,40960,False,1,4194304,4.106814938,9973.665874495755,38.95963232224904,1682.8082275390625,59585.93878394534,19021.823,10338.66796875,21,0
pooled-r3-v4194304-enabled,pooled,enabled,pooled,True,4194304,20,2048,40960,False,1,4194304,4.092344461,10008.932627824557,39.097393077439676,1677.1361083984377,59535.47261621804,18989.055,10338.66796875,41,20
pooled-r3-v65536-baseline,pooled,baseline,pooled,True,65536,20,8190,163800,False,64,4194304,0.284268198,576216.408140034,35.169458504640744,28.90655067155067,3060116.434782524,555.007,10390.78515625,21,0
pooled-r3-v65536-disabled,pooled,disabled,pooled,False,65536,20,8190,163800,False,64,4194304,0.287418634,569900.4191913318,34.78396113228344,29.191147741147734,3060298.792397289,555.007,10380.66796875,21,0
pooled-r3-v65536-enabled,pooled,enabled,pooled,True,65536,20,8190,163800,False,64,4194304,0.29794454,549766.74518016,33.555099193125,29.807216117216118,3061573.90738055,553.983,10380.66796875,41,20
trace-owned,trace,owned,owned,True,65536,20,8190,163800,True,0,0,0.356356339,459652.2695784008,28.054948094384816,33.915525030525025,2122879.4728000076,506.367,10373.6171875,,
trace-pooled,trace,pooled,pooled,True,65536,20,8190,163800,True,64,4194304,0.290649207,563565.9621806572,34.397336558878,26.320439560439564,2212225.5992129245,528.895,10380.66796875,,
