case,suite,variant,value_bytes,records_per_disk,instrumentation,operations,seconds,ops_per_second,gib_per_second,cpu_us_per_op,max_tasks,max_io_wq
allocator-r3-v65536-notrim-candidate,allocator,notrim-candidate,65536,8190,none,163800,0.281485303,581913.1523182935,35.51716017567709,28.8798717948718,41,20
allocator-r3-v65536-baseline,allocator,baseline,65536,8190,none,163800,0.271044568,604328.6578611677,36.88529405890916,27.49672161172161,21,0
allocator-r3-v65536-candidate,allocator,candidate,65536,8190,none,163800,0.328050807,499312.90063858917,30.475640908117015,35.38588522588524,41,20
trace-v65536-baseline,trace,baseline,65536,8190,strace,163800,0.293243712,558579.7522573988,34.093002457116626,26.443443223443225,1,0
trace-v65536-candidate,trace,candidate,65536,8190,strace,163800,0.342519301,478221.2258456057,29.188307241553083,31.761086691086692,1,0
trace-v65536-notrim-baseline,trace,notrim-baseline,65536,8190,strace,163800,0.276151258,593153.1914296041,36.203197719092046,25.43678266178266,1,0
trace-v65536-notrim-candidate,trace,notrim-candidate,65536,8190,strace,163800,0.267361915,612652.7033590404,37.39335347650393,23.600976800976806,1,0
entry-r1-v65536-candidate,entry,candidate,65536,8190,none,163800,0.347825407,470925.92060130904,28.74303714607599,36.574822954822956,41,20
entry-r1-v65536-entryalloc,entry,entryalloc,65536,8190,none,163800,0.339630702,482288.5535242335,29.43655722193808,35.92924908424909,41,20
entry-r2-v65536-entryalloc,entry,entryalloc,65536,8190,none,163800,0.331129644,494670.29898416466,30.192278990732706,35.41520146520146,41,20
entry-r2-v65536-candidate,entry,candidate,65536,8190,none,163800,0.337847794,484833.7118341522,29.591901357064952,35.727222222222224,41,20
entry-r3-v65536-candidate,entry,candidate,65536,8190,none,163800,0.325880127,502638.81233850133,30.678638448394857,35.10109279609281,41,20
entry-r3-v65536-entryalloc,entry,entryalloc,65536,8190,none,163800,0.335292972,488527.9850124624,29.817381897733302,35.49672161172162,41,20
