kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
long,long-r2-current-d20-k16-v65536,2,current,65536,5241600,8.905663522,588569.2836981182,35.92341819446522,17.143112203021317,29.12675309065934,387130068992,1.126971928895757
long,long-r2-old-d20-k16-v65536,2,old,65536,5241600,8.95063465,585612.1051706652,35.74292634098298,17.071223994155545,29.151077724358977,387130769408,1.1269739678724053
long,long-r2-old-d20-k16-v4194304,2,old,4194304,163840,16.485681194,9938.32150894862,38.82156839433055,16.326378985052692,1642.7702575683595,688602202112,1.002048087120056
long,long-r2-current-d20-k16-v4194304,2,current,4194304,163840,16.338562941,10027.809703438472,39.17113165405653,16.2408427814741,1619.5802734375004,688600924160,1.0020462274551392
long,long-r2-current-d20-k16-v100,2,current,100,83886080,0.961073729,87283709.32299201,8.128928888867797,19.557029219347232,0.22406276464462282,16107388928,1.920150390625
long,long-r2-old-d20-k16-v100,2,old,100,83886080,0.953495603,87977416.71389753,8.193535424200586,19.66896013048526,0.22356828451156618,16107388928,1.920150390625
long,long-r3-old-d20-k16-v4096,3,old,4096,83559040,4.150202311,20133726.92182475,76.80407303552532,18.885079841111384,0.937982317652285,358477922304,1.0473914492076501
long,long-r3-current-d20-k16-v4096,3,current,4096,83559040,4.162510049,20074195.381239787,76.57697823043742,18.82463395345427,0.9377528511576964,358477266944,1.0473895343938848
long,long-r3-current-d20-k16-v65536,3,current,65536,5241600,8.850765206,592219.9807590286,36.1462390599993,17.284002731910228,29.18510569291819,387130068992,1.126971928895757
long,long-r3-old-d20-k16-v65536,3,old,65536,5241600,9.257296025,566212.8537150242,34.558889997254894,17.205158025612562,30.38637839590965,387130769408,1.1269739678724053
long,long-r3-old-d20-k16-v4194304,3,old,4194304,163840,16.306197014,10047.713753202665,39.24888184844791,16.49581847742049,1641.748449707031,688602202112,1.002048087120056
long,long-r3-current-d20-k16-v4194304,3,current,4194304,163840,16.05184222,10206.928136626051,39.87081303369551,16.511196557226064,1617.6460083007812,688600924160,1.0020462274551392
long,long-r3-current-d20-k16-v100,3,current,100,83886080,0.970365777,86447896.23490606,8.051087729158445,19.398688047507264,0.2243974566459656,16107388928,1.920150390625
long,long-r3-old-d20-k16-v100,3,old,100,83886080,0.974948524,86041547.76893637,8.01324357920665,19.271802087471027,0.22398251295089716,16107388928,1.920150390625
long,long-r3-old-d20-k16-v1024,3,old,1024,83886080,2.199768113,38134055.81445484,36.367469610648,18.074977887453354,0.4739851951599121,129154093056,1.5035515308380127
long,long-r3-current-d20-k16-v1024,3,current,1024,83886080,2.2120880019999998,37921673.96783341,36.16492649825421,17.962212608212504,0.47366613149642944,129153863680,1.5035488605499268
long,long-r4-current-d20-k16-v65536,4,current,65536,5241600,8.979245807,583746.1310964199,35.62903632180297,17.130392942365745,29.34562137515263,387130068992,1.126971928895757
long,long-r4-old-d20-k16-v65536,4,old,65536,5241600,9.015080524,581425.7549941769,35.487411803843806,17.149152643553247,29.494999999999997,387130769408,1.1269739678724053
long,long-r4-old-d20-k16-v4194304,4,old,4194304,163840,16.387284925,9997.995442799076,39.05466969843389,16.725109513527297,1672.8462829589841,688602202112,1.002048087120056
long,long-r4-current-d20-k16-v4194304,4,current,4194304,163840,16.252886557,10080.670865781396,39.37762056945858,16.66629340271473,1653.29208984375,688600924160,1.0020462274551392
long,long-r4-current-d20-k16-v100,4,current,100,83886080,0.950706311,88235535.02212946,8.217574564938383,19.740094057290843,0.22372045516967776,16107388928,1.920150390625
long,long-r4-old-d20-k16-v100,4,old,100,83886080,0.969955536,86484459.22164416,8.0544929226529,19.321321755928413,0.22340801954269413,16107388928,1.920150390625
long,long-r4-old-d20-k16-v1024,4,old,1024,83886080,2.211346877,37934383.28128925,36.177047044076204,18.039838713191624,0.4755537629127502,129154093056,1.5035515308380127
long,long-r4-current-d20-k16-v1024,4,current,1024,83886080,2.201915531,38096865.57862786,36.33200223791872,17.985922912317196,0.47211030721664415,129153863680,1.5035488605499268
long,long-r4-current-d20-k16-v4096,4,current,4096,83559040,4.011167697,20831599.751487527,79.4662466105939,19.010309904776836,0.9125708122065548,358477266944,1.0473895343938848
long,long-r4-old-d20-k16-v4096,4,old,4096,83559040,4.213843888,19829647.756518878,75.64410307509948,18.881125906579857,0.9521664801318924,358477922304,1.0473914492076501
