allocated_segments,disk,payload_bytes,records,seconds,segments
8237,0,17669960182420,20714785,7350.238004914,14307
8268,0,17736537769020,20792835,7380.238919629,14307
8298,0,17801085187060,20868505,7410.240880064,14307
8332,0,17874004917880,20953990,7440.241149335,14307
8364,0,17942075275480,21033790,7470.243257508,14307
8397,0,18013186620860,21117155,7500.243703085,14307
8428,0,18079427267720,21194810,7530.244276886,14307
8459,0,18146712854280,21273690,7560.245628027,14307
8495,0,18222984922260,21363105,7590.246576183,14307
8527,0,18291490315980,21443415,7620.248318747,14307
8559,0,18360673854240,21524520,7650.248668224,14307
8593,0,18432808814020,21609085,7680.250808027,14307
8626,0,18505127171380,21693865,7710.253220477,14307
8658,0,18573351071140,21773845,7740.254657868,14307
8690,0,18641323332360,21853530,7770.254854977,14307
8720,0,18705781184140,21929095,7800.255983566,14307
8752,0,18774201276660,22009305,7830.256275302,14307
8782,0,18839942911500,22086375,7860.258274523,14307
8813,0,18906123847520,22163960,7890.258851041,14307
8852,0,18989544156060,22261755,7920.259845821,14307
8885,0,19059738513540,22344045,7950.260791437,14307
8924,0,19143632243740,22442395,7980.26230996,14307
8957,0,19215447324020,22526585,8010.263829369,14307
8988,0,19281798862440,22604370,8040.264424473,14307
9021,0,19351809822340,22686445,8070.265511753,14307
9054,0,19421658709960,22768330,8100.265761397,14307
9083,0,19485365911180,22843015,8130.267524475,14307
9117,0,19557803690220,22927935,8160.268003984,14307
9153,0,19635517348480,23019040,8190.26889322,14307
9182,0,19697753104000,23092000,8220.270542275,14307
9219,0,19776938207960,23184830,8250.272235914,14307
9254,0,19852173866360,23273030,8280.272496915,14307
9286,0,19921459766060,23354255,8310.274957746,14307
9323,0,19999045472520,23445210,8340.276702335,14307
9361,0,20080371636600,23540550,8370.278665554,14307
9397,0,20158208981600,23631800,8400.280118065,14307
9433,0,20235969555520,23722960,8430.281968561,14307
9464,0,20302124901180,23800515,8460.282217723,14307
9497,0,20373125355000,23883750,8490.282892689,14307
9529,0,20441758700520,23964210,8520.283348244,14307
9565,0,20519118358800,24054900,8550.283638792,14307
9602,0,20598431414560,24147880,8580.285448432,14307
9641,0,20681442277340,24245195,8610.287216593,14307
9682,0,20769720489220,24348685,8640.288108705,14307
9715,0,20839859400920,24430910,8670.288221734,14307
9747,0,20909802119860,24512905,8700.290315002,14307
9782,0,20984240212040,24600170,8730.291230335,14307
9814,0,21053538906920,24681410,8760.292648439,14307
9850,0,21129751264060,24770755,8790.292847812,14307
9887,0,21209460970400,24864200,8820.29311809,14307
9920,0,21279582821860,24946405,8850.293561184,14307
9957,0,21359075010140,25039595,8880.293932382,14307
9987,0,21424356018500,25116125,8910.295758655,14307
10021,0,21496358761420,25200535,8940.296723056,14307
10053,0,21564821504540,25280795,8970.299119402,14307
10094,0,21653291644120,25384510,9000.300153235,14307
10133,0,21736686362300,25482275,9030.300540095,14307
10175,0,21828641055900,25590075,9060.301317006,14307
10210,0,21902934136040,25677170,9090.303244257,14307
10240,0,21967861144420,25753285,9120.304299927,14307
10272,0,22036208730920,25833410,9150.306376672,14307
10302,0,22100739088720,25909060,9180.307788394,14307
10333,0,22166280265740,25985895,9210.309100236,14307
10364,0,22233049780040,26064170,9240.310036311,14307
10396,0,22301644740020,26144585,9270.310864492,14307
10427,0,22368043194100,26222425,9300.311335798,14307
10458,0,22434765792740,26300645,9330.311758373,14307
10490,0,22503974921360,26381780,9360.313297799,14307
10523,0,22573956025840,26463820,9390.31513167,14307
10555,0,22642559515940,26544245,9420.315791594,14307
10589,0,22716434620200,26630850,9450.316897466,14307
10624,0,22790429146140,26717595,9480.31762831,14307
10654,0,22856012973760,26794480,9510.31926113,14307
10689,0,22931308343000,26882750,9540.319480598,14307
10721,0,22999088676520,26962210,9570.320076348,14307
10752,0,23065725973960,27040330,9600.320498679,14307
10784,0,23133229078580,27119465,9630.322985794,14307
10816,0,23202489387920,27200660,9660.32460425,14307
10852,0,23280228636540,27291795,9690.325614012,14307
10884,0,23347770126700,27370975,9720.326171306,14307
10917,0,23419128845560,27454630,9750.326733139,14307
10948,0,23486277950200,27533350,9780.327001139,14307
10982,0,23559410934020,27619085,9810.327263036,14307
11014,0,23628342833740,27699895,9840.329126808,14307
11053,0,23710398323080,27796090,9870.329720932,14307
11084,0,23777504777120,27874760,9900.330476038,14307
11115,0,23843762484220,27952435,9930.330821848,14307
11146,0,23910544793700,28030725,9960.332338057,14307
11179,0,23980666645160,28112930,9990.333898257,14307
11212,0,24051918737520,28196460,10020.334107057,14307
11243,0,24119319480700,28275475,10050.336107822,14307
11274,0,24186050609460,28353705,10080.337032571,14307
11308,0,24258057617440,28438120,10110.338014247,14307
11340,0,24326307107560,28518130,10140.338859526,14307
11372,0,24396062163860,28599905,10170.340530767,14307
11403,0,24461918955320,28677110,10200.34154523,14307
11434,0,24527762951600,28754300,10230.341866576,14307
11465,0,24595871694740,28834145,10260.343336125,14307
11497,0,24663839690900,28913825,10290.345205273,14307
11530,0,24733496650820,28995485,10320.345590359,14307
11570,0,24819501585720,29096310,10350.347587208,14307
11601,0,24886254039780,29174565,10380.348536344,14307
11636,0,24961093047600,29262300,10410.35029494,14307
11672,0,25039092464880,29353740,10440.350621849,14307
11708,0,25115816629220,29443685,10470.351828066,14307
11739,0,25182517902560,29521880,10500.352022769,14307
11775,0,25259532090980,29612165,10530.353728915,14307
11808,0,25331027291760,29695980,10560.354014374,14307
11841,0,25401916854020,29779085,10590.355044312,14307
11873,0,25469526585140,29858345,10620.356028824,14307
11903,0,25534986726020,29935085,10650.356360781,14307
11935,0,25604276890780,30016315,10680.357309284,14307
11973,0,25684903585020,30110835,10710.359578534,14307
12005,0,25753831219680,30191640,10740.360702708,14307
12039,0,25825509818040,30275670,10770.362971184,14307
12069,0,25891196007100,30352675,10800.364631064,14307
12100,0,25957914340680,30430890,10830.365958955,14307
12131,0,26022888264720,30507060,10860.367684929,14307
12164,0,26094464501640,30590970,10890.367815631,14307
12199,0,26169273654040,30678670,10920.368694862,14307
12233,0,26243754396820,30765985,10950.371166362,14307
12270,0,26322662271880,30858490,10980.372780599,14307
12303,0,26391965231820,30939735,11010.373049624,14307
12338,0,26468608360020,31029585,11040.374113947,14307
12369,0,26534866067120,31107260,11070.374594377,14307
12401,0,26602804207860,31186905,11100.376309137,14307
12432,0,26669872276360,31265530,11130.377677674,14307
12465,0,26741320561480,31349290,11160.379024345,14307
12500,0,26816278990980,31437165,11190.380758243,14307
12535,0,26890576336180,31524265,11220.381541423,14307
12570,0,26966430428280,31613190,11250.381867081,14307
12602,0,27033843966640,31692220,11280.383681443,14307
12632,0,27098340203960,31767830,11310.384439202,14307
12665,0,27169191380680,31850890,11340.386111199,14307
12694,0,27232015714480,31924540,11370.386320249,14307
12726,0,27299996505820,32004235,11400.388014692,14307
12758,0,27369167248900,32085325,11430.388301801,14307
12791,0,27439933124420,32168285,11460.389283367,14307
12821,0,27504723650880,32244240,11490.389750378,14307
12854,0,27574981984260,32326605,11520.389811662,14307
12886,0,27642732462360,32406030,11550.3909512,14307
12918,0,27712274265660,32487555,11580.391387828,14307
12958,0,27798603345120,32588760,11610.392761218,14307
