round,disk,seconds,start_delay_seconds,records,segments,read_calls,read_bytes,user_seconds,system_seconds,max_rss_kib
2,15,19.292164496146142,7.721176370978355e-05,35982105,14307,42923,4863930368,11.038747,2.099535,6138356
2,16,19.441327184904367,7.802201434969902e-05,35982105,14307,42923,4863930368,11.102271,2.209243,6137224
2,17,19.441268005874008,7.730210199952126e-05,35982105,14307,42923,4863930368,11.049574,2.222467,6138356
2,18,19.522850170731544,7.707206532359123e-05,35982105,14307,42923,4863930368,11.139579,2.243337,6137684
2,19,19.618546202313155,7.727183401584625e-05,35982105,14307,42923,4863930368,11.357298,2.1139390000000002,6138356
3,0,19.123595704790205,4.8999208956956863e-05,35982105,14307,42923,4863930368,10.965222,1.988054,6137684
3,1,19.249838733114302,4.8939138650894165e-05,35982105,14307,42923,4863930368,11.039345,2.039325,6138428
3,2,19.40426633693278,4.918919876217842e-05,35982105,14307,42923,4863930368,11.107953,2.1336690000000003,6137224
3,3,19.603314105421305,4.8928894102573395e-05,35982105,14307,42923,4863930368,11.253229000000001,2.1930460000000003,6137224
3,4,19.385499053169042,4.9138907343149185e-05,35982105,14307,42923,4863930368,11.094119,2.1393459999999997,6138356
3,5,19.44676364492625,4.9149151891469955e-05,35982105,14307,42923,4863930368,11.112743,2.1863460000000003,6137224
3,6,19.560984273906797,4.926929250359535e-05,35982105,14307,42923,4863930368,11.238351,2.1722669999999997,6138428
3,7,19.67251429799944,4.897918552160263e-05,35982105,14307,42923,4863930368,11.281717,2.223307,6138528
3,8,16.943022118881345,4.994915798306465e-05,35982105,14307,42923,4863930368,9.478217,1.331024,6138532
3,9,16.881437624339014,4.991888999938965e-05,35982105,14307,42923,4863930368,9.282084,1.447924,6138356
3,10,16.842063104268163,4.9898866564035416e-05,35982105,14307,42923,4863930368,9.315531,1.384658,6138356
3,11,16.876816996838897,4.992913454771042e-05,35982105,14307,42923,4863930368,9.318182,1.416553,6137684
3,12,19.177618822082877,8.697807788848877e-05,35982105,14307,42923,4863930368,11.03754,1.984445,6138356
3,13,19.656407431233674,8.723791688680649e-05,35982105,14307,42923,4863930368,11.305570000000001,2.211682,6137684
3,14,19.478759703226388,8.723791688680649e-05,35982105,14307,42923,4863930368,11.17166,2.145484,6138528
3,15,19.360300199128687,8.701812475919724e-05,35982105,14307,42923,4863930368,10.992384,2.2147040000000002,6138528
3,16,19.526748870965093,8.70879739522934e-05,35982105,14307,42923,4863930368,11.200667,2.193595,6137224
3,17,19.58887488534674,8.70279036462307e-05,35982105,14307,42923,4863930368,11.242645,2.1716870000000004,6137224
3,18,19.633758584968746,8.698832243680954e-05,35982105,14307,42923,4863930368,11.322148,2.171633,6137224
3,19,19.45151698915288,8.716806769371033e-05,35982105,14307,42923,4863930368,11.236443,2.067628,6138528
