case,device,elapsed_ms,rollovers,rollover_ms,sync_ms,page_ms,body_ms,syncs,page_requests,body_requests,step_ms
r-timer-current-enabled,3,18101.615961,37,59.015631,4.393951,0.552916,18.970315,109,73,1116,25.916605
r-timer-current-enabled,0,18230.369022,37,56.122461,4.229894,0.594235,18.230403,109,73,1116,23.661193
r-timer-current-enabled,4,18314.992642,37,61.839804,4.255225,0.569724,20.075139,109,73,1116,26.385178
r-timer-current-enabled,15,18336.040603,37,62.857213,4.078026,0.451442,19.036254,109,73,1116,28.751931
r-timer-current-enabled,6,18375.063822,37,60.308835,4.647219,0.5922,18.678468,109,73,1116,25.205142
r-timer-current-enabled,19,18442.755363,37,62.819693,5.012001,0.736108,18.415984,109,73,1116,27.169927
r-timer-current-enabled,17,18466.531209,37,64.682625,4.163031,0.500831,20.934461,109,73,1116,28.332156
r-timer-current-enabled,14,18483.566105,37,62.493137,4.45039,0.658644,19.803322,109,73,1116,27.430161
r-timer-current-enabled,13,18570.535395,37,60.911451,4.189345,0.510747,18.787011,109,73,1116,26.533616
r-timer-current-enabled,16,18573.6662,37,60.200029,4.412618,0.580989,18.303982,109,73,1116,26.734493
r-timer-current-enabled,18,18646.032245,37,64.257523,4.245212,0.526497,19.58686,109,73,1116,28.721836
r-timer-current-enabled,12,18839.660727,37,62.855243,4.193907,0.540537,19.946264,109,73,1116,27.472254
r-timer-footer-disabled,9,6379.247123,37,39.51189,0.0,0.52343,11.644083,0,73,72,14.485938
r-timer-footer-disabled,11,6465.475014,37,37.560842,0.0,0.45995,9.098205,0,73,72,15.817822
r-timer-footer-disabled,8,6483.646047,37,39.520739,0.0,0.655986,11.338959,0,73,72,15.060038
r-timer-footer-disabled,10,6497.980149,37,37.664189,0.0,0.58982,10.698255,0,73,72,14.219337
r-timer-footer-disabled,5,17007.217442,37,68.547937,0.0,0.724123,12.365737,0,73,72,44.737707
r-timer-footer-disabled,2,17069.540519,37,67.799593,0.0,0.650739,11.337284,0,73,72,45.662233
r-timer-footer-disabled,6,17221.943756,37,70.377158,0.0,0.542129,11.910434,0,73,72,48.788761
r-timer-footer-disabled,7,17368.215531,37,71.012447,0.0,0.540202,12.026598,0,73,72,48.578912
r-timer-footer-disabled,17,17430.676726,37,72.381121,0.0,0.605879,14.063737,0,73,72,47.64427
r-timer-footer-disabled,4,17447.968486,37,69.579039,0.0,0.687045,10.619023,0,73,72,48.528494
r-timer-footer-disabled,1,17448.512395,37,65.352965,0.0,0.633938,10.676156,0,73,72,43.51668
r-timer-footer-disabled,3,17467.331195,37,62.07434,0.0,0.483116,11.291051,0,73,72,40.733141
r-timer-footer-disabled,15,17481.51661,37,69.281161,0.0,0.633266,14.734908,0,73,72,43.639601
r-timer-footer-disabled,0,17597.19214,37,63.695643,0.0,0.537873,11.198899,0,73,72,41.900508
r-timer-footer-disabled,12,17663.111892,37,69.084865,0.0,0.509671,11.928842,0,73,72,46.236672
r-timer-footer-disabled,13,17752.330301,37,70.21933,0.0,0.511757,12.909875,0,73,72,47.82063
r-timer-footer-disabled,16,17776.50272,37,71.794001,0.0,0.534278,12.144044,0,73,72,49.005769
r-timer-footer-disabled,18,17824.752049,37,70.548098,0.0,0.555081,12.990323,0,73,72,45.430674
r-timer-footer-disabled,14,17832.498147,37,70.084427,0.0,0.526291,11.549437,0,73,72,47.995303
r-timer-footer-disabled,19,17918.271178,37,71.805701,0.0,0.519616,13.568524,0,73,72,47.684317
r-timer-footer-enabled,9,6186.892971,37,40.267332,3.89289,0.478796,10.089888,109,73,72,14.152755
r-timer-footer-enabled,10,6283.989174,37,40.596965,3.746034,0.498532,10.471963,109,73,72,14.069657
r-timer-footer-enabled,8,6293.056376,37,41.509448,3.84004,0.53796,11.300878,109,73,72,14.790843
r-timer-footer-enabled,11,6302.520529,37,40.850573,3.813349,0.422225,11.724517,109,73,72,13.871521
r-timer-footer-enabled,1,16368.656417,37,73.083325,4.31704,0.698365,11.233848,109,73,72,46.028592
r-timer-footer-enabled,15,16573.884074,37,75.924293,3.501563,0.507263,12.251294,109,73,72,50.467644
r-timer-footer-enabled,2,16853.564327,37,71.353322,3.69641,0.578219,10.097681,109,73,72,46.653081
r-timer-footer-enabled,7,16919.291662,37,72.46201,4.306991,0.731974,11.237872,109,73,72,47.106926
r-timer-footer-enabled,4,17040.472305,37,73.971454,3.687823,0.56519,12.201021,109,73,72,48.057132
r-timer-footer-enabled,19,17072.088369,37,74.849047,4.076667,0.521277,12.533988,109,73,72,48.204923
r-timer-footer-enabled,17,17084.121269,37,76.710515,3.743479,0.585158,12.897061,109,73,72,48.282542
r-timer-footer-enabled,14,17159.278098,37,78.244517,4.082458,0.696224,13.310523,109,73,72,47.942457
r-timer-footer-enabled,5,17211.973844,37,71.772751,3.749482,0.673938,11.658585,109,73,72,45.670675
r-timer-footer-enabled,3,17226.14473,37,72.961455,3.669735,0.482038,12.190728,109,73,72,46.358517
r-timer-footer-enabled,0,17274.373218,37,71.71544,3.718835,0.516626,10.495256,109,73,72,46.003121
r-timer-footer-enabled,13,17293.427532,37,75.946613,3.778767,0.58944,14.022636,109,73,72,45.493702
r-timer-footer-enabled,6,17407.350437,37,71.662922,3.529219,0.539006,11.360274,109,73,72,46.005189
r-timer-footer-enabled,18,17452.550749,37,75.857396,3.463077,0.509619,13.99148,109,73,72,46.635244
r-timer-footer-enabled,12,17623.197634,37,73.547171,3.533187,0.475631,12.507199,109,73,72,47.178982
r-timer-footer-enabled,16,17686.951091,37,73.190151,3.757454,0.623485,12.526933,109,73,72,44.021709
