repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
1,2.548143,3.9284239999999997,125225676800,984291,0,0,True,legacy,11.630150330593835,1865,29827,2977.318484632022,20923.276,38555.929,33942.653,125103505408,read,64,10.018075041,True,4194304,4198400.0,0.0,64.64881699821558
1,0.013360000000000004,0.042375,0,0,537395200,4224,True,v2,8.202552115817149,0,128,2099.85334164919,,,,536870912,write,64,0.060956638,True,4194304,0.0,1.0009765625,91.43384843501377
1,1.080685,1.286718,45867520000,360525,0,0,True,v2,4.26733257030864,683,10925,1092.4371379990118,883.842,2346.402,1908.761,45822771200,read,1,10.000575429,True,4194304,4198400.0,0.0,23.672667806043705
1,3.174669,3.3711260000000003,115875840000,910800,0,0,True,v2,10.777766158222612,1725,27600,2759.1081365049886,5728.514,11338.65,10145.075,115762790400,read,16,10.003232434,True,4194304,4198400.0,0.0,65.4367979869336
1,3.5166710000000005,3.7961199999999993,125141708800,983631,0,0,True,v2,11.622020706933133,1863,29807,2975.237300974882,20832.879,45457.471,35417.783,125019619328,read,64,10.018360549,True,4194304,4198400.0,0.0,72.99388921204216
1,0.010359000000000007,0.03266,0,0,570429440,8193,True,legacy,9.153177826822132,0,8192,149965.6655146538,,,,536870912,write,64,0.054625837,True,65536,0.0,1.0625076293945312,78.75211138641228
1,0.061391,0.338318,5204504576,74743,0,0,True,legacy,0.456188162309261,4672,74743,7474.186851274932,126.938,336.883,167.286,4898357248,read,1,10.000151386,True,65536,69632.0,0.0,3.9970294905693535
1,1.6913749999999999,5.7554099999999995,124709937152,1790986,0,0,True,legacy,10.930619944524132,111937,1790986,179087.27717108338,284.315,1850.443,1232.905,117374058496,read,64,10.000632252,True,65536,69632.0,0.0,74.46314205295106
1,0.020997,0.020145,0,0,570425344,8192,True,v2,9.18402829150936,0,8192,150471.11952808936,,,,536870912,write,64,0.054442341,True,65536,0.0,1.0625,75.56985839385561
1,0.09535700000000001,0.343267,3645304832,104702,0,0,True,v2,0.31952486316167883,3272,52351,5235.095358040946,185.677,442.681,336.873,3430875136,read,1,10.000008867,True,65536,69632.0,0.0,4.386236110724441
