run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
split-r1-v2-d20-k16-v4096,v2,20,16,4096,2560,1,50082321,5.000415438,10015632.025172545,38.20660409993189,76.41320819986377,10015482.03763465,50081571,410274373632,259.967,325.375,419.071,19.998675958011464,100.00168799999997,1.9967462769946298,11315.77734375,2.0,440675.78530662076,724582.9961378501
split-r1-v2-d20-k16-v4194304,v2,20,16,4194304,160,1,296662,5.002236182,59305.876253405586,231.66357911486557,231.88981307884492,1957093.9163623843,9789846,1245505740800,2643.967,4648.959,5525.503,19.995976471468417,100.024597,337.1668666698128,10342.4453125,1.0009765625,97788.06561757023,97952.99185655285
split-r1-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,298489,5.007432281,59609.193544678514,232.84841228390044,233.07580331152144,1967103.386974391,9850137,1253176217600,10280.959,18612.223,23429.119,19.99501109179354,100.12366400000002,335.4350210560524,10342.4453125,1.0009765625,98306.07232928848,98444.46661224854
split-r1-v2-d20-k16-v4194304,v2,20,16,4194304,2560,1,298211,5.014611814,59468.41172579744,232.29848330389626,232.52533729149772,1962457.5869513156,9840963,1252009062400,42500.095,50626.559,54788.095,19.989737534646974,100.24077399999996,336.1404307688179,10342.4453125,1.0009765625,97652.0253537615,98421.97528073705
split-r1-v2-d20-k16-v65536,v2,20,16,65536,160,1,5570117,5.000689647,1113869.7646116891,67.98521512522517,72.23429107055173,1113869.7646116891,5570117,387858386944,140.543,261.503,366.847,19.997618940418125,100.00188600000001,17.953282848457224,10394.45703125,1.0625,54510.88134684236,56311.233025415546
split-r1-v2-d20-k16-v65536,v2,20,16,65536,640,1,15361572,5.000763037,3071845.613627703,187.49057700364398,199.20873806637175,3071845.613627703,15361572,1069656981504,183.423,547.327,806.911,19.997814785479907,100.00433299999999,6.510032501881968,10394.45703125,1.0625,151634.85939835786,154483.22471673237
split-r1-v2-d20-k16-v65536,v2,20,16,65536,2560,1,17963126,5.002531607,3590807.097523252,219.16547226094067,232.8633142772495,3590807.097523252,17963126,1250808389632,453.375,3678.207,5984.255,19.994721644544324,100.024227,5.568308489290784,10394.45703125,1.0625,178947.3951043844,179731.59804565329
split-r2-foyer-d20-k16-v100,foyer,20,16,100,640,1,3043993,5.00099042,608678.0306209825,0.05668755905898125,2.3214838157506223,608550.4558914952,3043355,12465840128,1017.343,2008.063,2404.351,52.283514072398496,261.46935300000007,85.89683123450023,584.66015625,40.952262794296836,29427.970789834068,31390.582027949575
split-r2-foyer-d20-k16-v1024,foyer,20,16,1024,640,1,3044111,5.000924098,608709.698517004,0.5805108056230583,2.3216290229213854,608590.7205064723,3043516,12466454528,1014.271,2002.943,2390.015,53.05362305060925,265.31714200000005,87.1575123246163,586.21484375,3.9992864911956234,28834.47082463598,31323.41081974166
split-r2-foyer-d20-k16-v4096,foyer,20,16,4096,640,1,3109396,5.001109927,621741.1825348985,2.3717543889423314,4.742579723867184,621610.6115197575,3108743,25467183104,993.791,1950.719,2332.671,52.9821399384729,264.96950599999997,85.21574801022449,661.20703125,1.9996082840525942,29944.752702093527,32142.264886472272
split-r2-foyer-d20-k16-v4194304,foyer,20,16,4194304,640,1,30669,5.116536575,5994.093768400357,23.414428782813893,23.164474516341286,195641.91232230174,1001009,127261900800,103874.559,212074.495,273154.047,11.706088703177109,59.89463099999999,1952.9372004304018,14661.109375,0.9893247762398513,8785.239652078517,11790.983825811898
split-r2-foyer-d20-k16-v65536,foyer,20,16,65536,640,1,3229193,5.000999964,645709.4627565568,39.41097795145,41.74757653600777,643757.4531444248,3219431,224175419392,962.047,1738.751,2069.503,54.15755447903858,270.841928,83.87294534578763,916.7734375,1.0592880132900078,30744.051411074954,33590.28218541295
