repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,huge_pages,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,seconds,verified_reads,workload,memory_arena_backing,memory_deferred_taskrun,memory_fixed_files,memory_observed_anon_huge_bytes,memory_observed_hugetlb_bytes,memory_pool_bytes,memory_registered_buffers,device_read_bytes_per_op,device_write_amplification,cpu_percent
1,2.494554,2.1800759999999997,17048682496,4162231,0,0,True,v2,0.7938757305427444,Disabled,260143,4162276,832439.0380295888,71.148,168.316,129.758,4262170624,read,64,full,5.000097076,False,1024,Plain,True,True,0,0,1073741824,True,4096.0,0.0,93.49078485771382
1,0.020061999999999997,0.041691,0,0,578818048,6145,True,legacy,7.9825693892028475,Disabled,0,131072,2092582.6699631913,,,,536870912,write,64,full,0.062636474,False,4096,Plain,True,True,,,1073741824,True,0.0,1.0781326293945312,98.58952149828868
1,0.14153999999999997,0.043012999999999996,356397056,87011,0,0,True,legacy,0.06638333220525618,Disabled,5439,87011,17401.992237614675,55.708,90.018,63.489,356397056,read,1,full,5.000059695,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.6910159329607755
1,2.670007,1.9640950000000001,17512624128,4275479,0,0,True,legacy,3.2618918883057084,Disabled,267222,4275543,855085.3871680116,69.389,167.957,128.057,17512624128,read,64,full,5.000135734,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,92.6795240474966
1,0.01629599999999999,0.03411,0,0,553648128,6144,True,v2,8.59713986568207,Disabled,0,131072,2253688.6329493606,,,,536870912,write,64,full,0.058158877,False,4096,Plain,True,True,,,1073741824,True,0.0,1.03125,86.66948641391407
1,0.14326399999999997,0.038381000000000005,356503552,87037,0,0,True,v2,0.06640390545548316,Disabled,5440,87037,17407.38539172218,55.609,65.369,63.479,356503552,read,1,full,5.000004196,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.632896951272878
1,2.6653480000000003,1.965804,17472331776,4265641,0,0,True,v2,3.2544298453703977,Disabled,266607,4265706,853129.2573847775,69.628,168.536,128.397,17472331776,read,64,full,5.000069993,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,92.62174342526248
1,0.011362999999999998,0.035819,0,0,537399296,4225,True,legacy,7.383911254838123,Disabled,0,128,1890.2812812385596,,,,536870912,write,64,full,0.06771479,False,4194304,Plain,True,True,,,1073741824,True,0.0,1.0009841918945312,69.67754016515445
1,0.211376,0.000902,28525461504,217632,0,0,True,legacy,5.313189770686442,Disabled,426,6801,1360.1765812957292,711.595,1893.231,1064.658,28525461504,read,1,full,5.000086087,False,4194304,Plain,True,True,,,1073741824,True,4194304.0,0.0,4.245486903753784
1,0.511248,0.0015249999999999986,62214111232,474656,0,0,True,legacy,11.580501957482147,Disabled,928,14833,2964.6085011154296,5100.175,11324.166,10104.501,62214111232,read,16,full,5.003358789,False,4194304,Plain,True,True,,,1073741824,True,4194304.0,0.0,10.248575439509622
