engine,disks,key_bytes,value_bytes,clients,repeat,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
foyer,1,256,65536,128,1,213977.07921509998,13.060124463812254,13.662810074986991,210683.54619991232,525.311,1559.551,2140.159,2.4684541107198554,11.53606788060906,105.734375,1.0461470036403322,210683.54619991232,210683.54619991232
foyer,1,256,65536,128,2,213954.51242046827,13.058747095975846,13.662490958388616,210678.62535003107,523.519,1581.055,2179.071,2.468456182001156,11.537294325207267,105.734375,1.0462329087144064,210678.62535003107,210678.62535003107
foyer,1,256,65536,128,3,213966.6772465049,13.059489578033746,13.662990062381965,210686.52158312104,524.031,1581.055,2170.879,2.4704074711752484,11.545757979543525,106.80078125,1.0462116440877838,210686.52158312104,210686.52158312104
foyer,1,4096,262144,8,1,38649.29202594651,9.435862311022097,9.698759628715868,38522.2976380317,197.887,371.455,456.191,1.9712622867655287,51.003839486688584,283.04296875,1.0278615042301622,38522.2976380317,38522.2976380317
foyer,1,4096,262144,8,2,38347.3857222452,9.36215471734502,9.622295946114102,38218.193182158364,199.167,375.295,461.823,1.8281136399653326,47.67244508417297,283.04296875,1.0277864697415358,38218.193182158364,38218.193182158364
foyer,1,4096,262144,8,3,38458.204642201985,9.389210117725094,9.653318424059893,38341.6106915392,198.655,373.503,458.239,1.870106571764653,48.62698581910654,283.04296875,1.0281289163862903,38341.6106915392,38341.6106915392
foyer,1,4096,262144,32,1,55174.75979034338,13.470400339439301,13.685643559735244,54356.717546190775,550.911,1141.759,1448.959,2.14437106747487,38.865073008440646,283.04296875,1.0159789772294847,54356.717546190775,54356.717546190775
foyer,1,4096,262144,32,2,55171.54271330797,13.469614920241204,13.685642141122267,54356.91188492235,550.399,1149.951,1476.607,2.1417612277278275,38.82003515575452,283.04296875,1.0160381140931083,54356.91188492235,54356.91188492235
foyer,1,4096,262144,32,3,55172.79878820785,13.469921579152308,13.685245166535694,54354.93518397542,550.399,1147.903,1483.775,2.1174158768602847,38.37789496574972,283.04296875,1.015985511579863,54354.93518397542,54354.93518397542
foyer,1,4096,262144,128,1,57799.552826078994,14.111218951679442,13.685476704068018,54356.45502381383,2107.391,4145.151,5111.807,2.1350162397524275,36.93828300327463,297.78125,0.9698295201095469,54356.45502381383,54356.45502381383
foyer,1,4096,262144,128,2,57855.12230022502,14.124785717828374,13.685629232466045,54356.86098166988,2109.439,4136.959,5124.095,2.1367103518659403,36.93208599193696,297.78125,0.9689088037060963,54356.86098166988,54356.86098166988
foyer,1,4096,262144,128,3,57843.08189817419,14.121846166546433,13.684798751062296,54354.36187573446,2111.487,4108.287,5214.207,2.143120150182522,37.05058720687166,297.78125,0.9690516799057428,54354.36187573446,54354.36187573446
foyer,20,16,128,160,1,577844.1789269447,0.0688843940409356,2.204161063939628,577802.4006474639,232.447,841.727,1169.407,38.73977539851828,67.04190647114928,466.5,31.997974209220324,28631.714377421526,29060.69135237804
foyer,20,16,128,160,2,578834.5195683291,0.0690024518452083,2.207967914388928,578801.5438987081,232.319,846.335,1212.415,38.715953477734246,66.88604803080335,466.53515625,31.99839796043791,28679.23964823298,29121.31347369807
foyer,20,16,128,160,3,578356.5323107006,0.06894547132381208,2.2061285105427046,578319.7544317195,232.063,846.847,1205.247,38.744962627109864,66.99148442624586,475.64453125,31.998164175008863,28665.758228670504,29094.700230265364
foyer,20,16,128,640,1,588035.3813636141,0.07009928004307915,2.242627579725183,587883.7948957755,643.583,5509.119,7651.327,40.422323397241286,68.74131162567916,563.3046875,31.992162806051468,29207.38581635371,29621.11130084894
foyer,20,16,128,640,2,587473.9242399833,0.0700323491382579,2.2405160886412254,587331.8726140063,615.423,5885.951,9510.911,40.33913877761436,68.66541154111856,568.51953125,31.992587942723407,29173.18028077254,29582.599763777867
foyer,20,16,128,640,3,588516.6442607703,0.07015665105113629,2.2444177294098897,588353.0702314925,612.863,6410.239,11296.767,40.35057881692343,68.563190540868,575.49609375,31.99151749381484,29229.344140354253,29639.57425762955
foyer,20,16,128,2560,1,585853.8735220005,0.06983922404313093,2.2326727186856137,585274.6353867702,1254.399,31621.119,36208.639,40.365042503990956,68.89950605144396,1069.05078125,31.96875035877792,29123.135955572085,29418.492012914536
foyer,20,16,128,2560,2,585245.8998230044,0.06976674793040805,2.230346061116468,584665.309917933,1042.943,29573.119,34209.791,40.331236585938846,68.91331762962578,1085.0,31.96861151305527,29088.04878403532,29407.91722577318
foyer,20,16,128,2560,3,584437.8273795113,0.06967041818851367,2.2273569189696207,583880.7345788636,1161.215,28721.151,34340.863,40.35461410660063,69.04860058005093,1146.51171875,31.96990884915971,28996.126346213074,29373.9840341524
foyer,20,16,4096,160,1,757069.0124456509,2.8879890916658435,5.775628945452383,757018.4397262143,185.087,565.247,780.287,41.16054246979023,54.36828319894429,469.5,1.9998790722997148,37691.268108785036,38056.6709986272
foyer,20,16,4096,160,2,756529.892409299,2.8859325119373285,5.771523380228609,756481.5141072191,184.959,566.783,788.479,41.166029021920316,54.41427950826906,469.5,1.999881617589935,37663.30781059775,38027.34453823241
foyer,20,16,4096,160,3,755243.6237172366,2.8810257862748587,5.7616733573872745,755190.4522288202,185.727,562.687,774.655,41.12176251317823,54.44834119986458,472.3046875,1.9998687220488465,37597.239630723554,37950.650125160275
foyer,20,16,4096,640,1,766659.4373565258,2.92457365934954,5.847783341619826,766469.2976013861,458.239,5156.863,7749.631,43.289018597986825,56.46446973541367,587.8984375,1.9995336150707324,38098.10741556577,38506.88795832402
foyer,20,16,4096,640,2,766196.8638725096,2.9228090815449126,5.844185633449837,765998.9337522361,447.487,5464.063,9396.223,43.31443273366959,56.53172804016703,600.1640625,1.999509879160759,38086.49908509931,38483.95392883084
foyer,20,16,4096,640,3,764493.1266068842,2.916309839656388,5.831207125624932,764299.0120376573,446.463,5259.263,7688.191,43.3160702271156,56.65985568682488,609.5625,1.999515636621104,38002.80968482587,38392.2346009134
foyer,20,16,4096,2560,1,760776.1627191788,2.9021307476775315,5.798656450332204,760031.4235369093,609.279,27394.047,31883.263,43.1163800249773,56.67419950550241,1055.56640625,1.9980686448991505,37693.08716967513,38228.03510219131
foyer,20,16,4096,2560,2,760413.6304993326,2.900747797009783,5.795913503379993,759672.0954848806,633.855,26968.063,30195.711,43.13950464518953,56.73162988525282,1136.17578125,1.9980756373769113,37659.23013176448,38190.930298002204
