engine,disks,key_bytes,value_bytes,clients,samples,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops,min_ops_per_second,max_ops_per_second
moat,20,16,128,160,3,1561169.1218074805,0.18610586187928682,5.955150391667673,1561102.9457180796,95.359,207.871,262.143,42.24527383059911,27.06002395287491,11414.6015625,31.998765080136256,77640.34716057271,78633.38835711226,1559550.3489707396,1564545.7433316705
moat,20,16,128,640,3,3427066.9610560476,0.40853821767044635,13.072225442279121,3426796.4905496775,127.039,952.319,1271.807,58.75232524676136,17.143617534877954,11552.02734375,31.997610800491564,170573.3418295832,171890.98796902288,3426572.925798888,3437584.232561815
moat,20,16,128,2560,3,3560343.2774936417,0.42442599266691705,13.58053482930255,3560045.445405781,698.879,1482.751,1583.103,58.704090513722534,16.488323158279325,12005.41015625,31.99731854954396,177080.84066123856,178653.79725532368,3558106.7381456587,3562374.99035342
moat,20,16,4096,160,3,1600620.8008697252,6.105883792380238,12.211255068374623,1600551.2251595797,94.783,183.679,224.767,41.22014440010028,25.756096442897476,11417.78125,1.999918780010786,79710.77185359511,80336.7533147033,1600023.3062879364,1603419.5849511982
moat,20,16,4096,640,3,3419155.502478432,13.043043146051147,26.083728873089186,3418837.9332939135,139.647,792.063,1087.487,59.05478435033859,17.271745700811717,11565.31640625,1.9998121978545884,170146.06868724877,171884.321120599,3411594.0967741394,3434898.878253132
moat,20,16,4096,2560,3,3483009.6658638907,13.286627448516429,26.57050868350697,3482641.425803129,705.535,1508.351,1608.703,58.594801013811626,16.820983310855983,11961.36328125,1.9997913164954433,173457.64534178755,174768.78519371746,3476702.986531281,3496090.6675151675
moat,20,256,65536,160,3,1337377.8531436361,81.62706623191139,86.66663988792813,1336419.9792224136,114.303,205.823,250.239,37.398359839339484,27.963944334378663,10397.6015625,1.0617409356541292,65270.32438919348,68191.1104018514,1335303.1298710492,1338859.7182804057
moat,20,256,65536,640,3,3015718.263990747,184.06483544865398,195.15391652742167,3009319.3114214367,185.983,589.311,816.127,58.455327463943384,19.38477077450314,10459.7265625,1.0602557880456493,146893.68742265968,153632.3280631935,3014315.6445359658,3016071.277422678
moat,20,256,65536,2560,3,3094351.3137209485,188.86421592535086,200.20239779073674,3087168.0803796994,780.799,1697.791,1816.575,58.5182602266724,18.911317524675102,10777.30078125,1.0600335103705791,150549.81772598767,157067.90026389895,3091517.0488457186,3103259.8665026263
moat,20,4096,262144,160,3,741783.4081515919,181.09946488075974,186.0991197358474,739163.1461217271,195.711,506.111,754.175,28.935908587434064,38.98701627652818,10522.41015625,1.0276072315198699,35054.024941909076,38170.19589664192,740617.706588884,747274.9745702695
moat,20,4096,262144,640,3,1022501.9782122939,249.63427202448582,253.6659256117409,1007530.3091449123,450.815,2523.135,3622.911,36.67587045887434,35.86875257004112,10611.25,1.016150240728403,48351.66535516797,51901.34617560679,1022343.4651160022,1022549.5335392907
moat,20,4096,262144,2560,3,1078306.0854884232,263.2583216524471,255.48363357398435,1014750.0248427053,2252.799,5763.071,7008.255,38.84118661670457,36.020557742759365,11002.75,0.9703783537348544,49407.71320311237,52911.24273870349,1078033.1814368132,1078405.0974461187
