run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
matrix-r1-foyer-d20-k16-v65536,foyer,20,16,65536,2560,1,2829965,5.003674829,565577.3200125351,34.52010009842133,36.149338607440676,557431.3070534663,2789205,194217922560,4501.503,6578.175,7471.103,53.35164056880802,266.954261,94.33129420328518,1005.2734375,1.0471968072043294,26509.916118292185,29804.694568812476
matrix-r1-v1-d20-k16-v100,v1,20,16,100,160,1,14065612,5.000293036,2812957.540434836,0.26197708588417956,10.730581437815994,2812950.9408216206,14065579,57612746752,55.487,90.559,107.327,19.998693732556678,99.999329,7.109490081199453,11264.99609375,40.96,140228.5815954727,140940.53986959174
matrix-r1-v1-d20-k16-v100,v1,20,16,100,640,1,49957635,5.00036572,9990796.23320032,0.9304654070362747,38.11186307220581,9989773.907977276,49952523,204626472960,61.727,112.255,146.815,19.998670417251002,100.000666,2.001709368347801,11264.99609375,40.96,493524.90161459637,513841.81555424316
matrix-r1-v1-d20-k16-v100,v1,20,16,100,2560,1,74758057,5.000324327,14950641.620651018,1.3923870046298037,57.032171709636756,14945887.329040045,74734284,306209001472,154.111,239.359,304.639,19.99874717326511,100.00022200000001,1.3376514320055164,11264.99609375,40.96,710591.3072106212,920895.0657732005
matrix-r1-v1-d20-k16-v1024,v1,20,16,1024,160,1,13878949,5.000317195,2775613.7178413537,2.647031514970163,10.588126059880652,2775611.917955537,13878940,56848175104,55.519,84.415,105.151,19.998534312981715,99.99901499999999,7.205085557991458,11264.99609375,4.0,138399.8200538156,139254.56582959834
matrix-r1-v1-d20-k16-v1024,v1,20,16,1024,640,1,50003610,5.000439156,9999843.701727865,9.536594106414666,38.146376425658666,9999702.914093412,50002906,204814786560,61.631,107.135,136.703,19.99814733872147,99.99951900000002,1.9998459911194415,11264.99609375,4.0,492901.1079042115,515083.759575296
matrix-r1-v1-d20-k16-v1024,v1,20,16,1024,2560,1,75627766,5.000308622,15124619.641927373,14.423961297919629,57.695845191678515,15123974.681737153,75624541,309771329536,154.623,236.543,273.663,19.99870679182249,99.99970599999996,1.3222617999849415,11264.99609375,4.0,720861.5052561049,933359.9889147001
matrix-r1-v1-d20-k16-v4096,v1,20,16,4096,160,1,12536301,5.000270445,2507124.592137936,9.563921326209778,19.127842652419556,2507124.592137936,12536301,102697377792,61.535,96.895,115.199,19.99877308636253,99.99927399999999,7.976776722256428,11264.99609375,2.0,125018.8378560792,125649.00377103503
matrix-r1-v1-d20-k16-v4096,v1,20,16,4096,640,1,43649539,5.000416773,8729180.182677545,33.29917977400797,66.59835954801594,8729136.386328172,43649320,357577023488,69.695,123.391,157.823,19.998174260183816,99.99920600000003,2.290956749852502,11264.99609375,2.0,428741.2624435655,453725.57988577883
matrix-r1-v1-d20-k16-v4096,v1,20,16,4096,2560,1,50317000,5.000509154,10062375.340269199,38.38491569621734,76.76983139243468,10062226.55542008,50316256,412196864000,260.095,329.727,421.631,19.998275559601137,100.00155999999997,1.987430888169008,11264.99609375,2.0,439098.2862702304,754401.9786429931
matrix-r1-v1-d20-k16-v4194304,v1,20,16,4194304,160,1,278699,5.003378951,55702.157028161506,217.58655089125588,217.79903775736062,1838171.1819293296,9197067,1170089881600,2719.743,6090.751,7217.151,19.972817565622762,99.931575,358.5645266039706,10322.87890625,1.0009765625,91427.41424943888,92502.4877253196
matrix-r1-v1-d20-k16-v4194304,v1,20,16,4194304,640,1,294582,5.009395482,58805.898048677955,229.71053925264826,229.9348659511372,1940594.6356063725,9721206,1236773068800,10289.151,21331.967,26755.071,19.990346012772648,100.13954900000002,339.93777284423356,10322.87890625,1.0009765625,95138.42572671526,98260.95818720985
